epoch,train_loss,val_loss,val_score
1,0.2595068292350185,0.262844495177269,0.6966180412238039
2,0.24162049424283358,0.25826935648918153,0.7130588511732073
3,0.21101237324123479,0.27403022944927213,0.7131805576119197
4,0.1897405182220498,0.2913628488779068,0.7162988115720171
5,0.1709015591792306,0.33735094487667083,0.6783113235607315
6,0.15440169866291845,0.39614381074905397,0.6949033252956544
7,0.136876997442878,0.492022745013237,0.713382743910442
8,0.12186917039204617,0.727598592042923,0.6976948624265641
9,0.10725802874990872,0.9696266973018646,0.678042423739767
10,0.09630201074617858,1.0492928314208985,0.6893402176023136
11,0.08685588612392241,1.0850604927539826,0.679348125940921
12,0.07778759384337737,1.6228963482379912,0.6735860736811468
13,0.07083329075605285,1.6599868834018707,0.6646624846387778
14,0.06531084377356634,2.021205496788025,0.6649663882044582
15,0.058626701884275795,1.936230173110962,0.6640805225406884
16,0.05406629254243204,2.5124839973449706,0.6567489357811194
17,0.05014387484905975,2.4348404002189636,0.6608072430921715
18,0.046203050377531626,2.586315951347351,0.6667034100492245
19,0.0439263332007947,2.599775984287262,0.6627068187313006
20,0.040207903433058946,2.8932160139083862,0.6597039305719795
21,0.03814253748907727,2.9255872058868406,0.6590000910399824
22,0.03662418368823674,3.1093241214752196,0.6634443709502286
23,0.03397999067638754,3.1855258393287658,0.6614576461441524
24,0.03320955831025328,3.3153338158130645,0.6599913701812331
25,0.03165132753855111,3.1640943837165834,0.6606006153368159
26,0.031000461434109176,3.3602163124084474,0.6591543381186464
27,0.029646601898557678,3.3266016483306884,0.6585597550529008
28,0.02955513651843886,3.3217662143707276,0.6600486508717639
29,0.02896880711980012,3.4533753418922424,0.6591615868411691
30,0.02905429716279008,3.5030233573913576,0.6590391233564376
