epoch,train_loss,val_loss,val_score
1,0.05639978354940048,0.15396146476268768,0.8619953416149069
2,0.04799001334378353,0.13250087201595306,0.9185753105590062
3,0.04262819642630907,0.09380676969885826,0.9175077639751552
4,0.03635891641561802,0.08468816615641117,0.9351708074534162
5,0.02801821814276851,0.07040013512596488,0.9239130434782609
6,0.0167173719785821,0.19068550877273083,0.8993594720496895
7,0.010933384254503135,0.18514825217425823,0.8885869565217391
8,0.009243086884872844,0.23611708777025342,0.8634510869565217
9,0.005330967304941554,0.40107468515634537,0.8474378881987576
10,0.00526231411137045,0.3965565590187907,0.8481172360248446
11,0.0035525575356307225,0.488357275724411,0.8339479813664596
12,0.00360419642395125,0.664283037185669,0.8132763975155279
13,0.0027610226825345308,0.5380843318998814,0.8282220496894409
14,0.00233111641360805,0.7740682065486908,0.8085209627329193
15,0.0022738294075959576,0.8931359797716141,0.8217197204968943
16,0.002742232462668863,0.4793877601623535,0.8376358695652173
17,0.0024145852305362215,0.7126589678227901,0.8168672360248448
18,0.0021308066917789313,0.8772605657577515,0.8355007763975155
19,0.003601186968388412,0.7723637074232101,0.8210403726708075
