epoch,train_loss,val_loss,val_score
1,0.2552695282715924,0.26176814556121825,0.7017427877876962
2,0.24004915668344012,0.26030686378479007,0.7156543573164192
3,0.2363956534892929,0.26669891059398654,0.7125627705336797
4,0.22212304798315982,0.26772966027259826,0.7141610228051226
5,0.21916399052252575,0.25800558626651765,0.7258384799220231
6,0.21908103811497592,0.2590273517370224,0.7181982339456511
7,0.21060483408521632,0.3538376611471176,0.7028086326796018
8,0.21368077138856967,0.2742665284872055,0.7457893819942202
9,0.2089572431405588,0.2777423030138016,0.7530179779809316
10,0.20374452071834584,0.28642394006252286,0.7584789623648653
11,0.2009374535433492,0.2519400262832642,0.7634668997252212
12,0.20154631875303328,0.24806276619434356,0.7549177335456697
13,0.19655148867441682,0.24842369586229324,0.7625795365494242
14,0.19557934874022492,0.27569008618593216,0.7471469720154261
15,0.19458701856890503,0.2516127520799637,0.7728668791635309
16,0.1919929674845569,0.2723070198297501,0.7454529254478685
17,0.19154016780001776,0.2630948358774185,0.7432785005391285
18,0.18929089894708323,0.25509104192256926,0.7504396969599537
19,0.18734368446226024,0.2620604246854782,0.754558095056029
20,0.1868409824994754,0.2532639926671982,0.7500614209819311
21,0.1841757146603599,0.27500710368156434,0.7514336944867926
22,0.18201842900289564,0.2778367733955383,0.7572411750421595
23,0.18512208178183254,0.24844147622585297,0.7728061982413893
24,0.17804755278083742,0.26538229882717135,0.7558900278667268
25,0.1772435505551343,0.2795626580715179,0.7604007087090855
26,0.1772206619914089,0.26687301337718966,0.7595531528793472
27,0.1750341835146656,0.2854325222969055,0.7448234242368809
28,0.1745615128655823,0.26663224041461947,0.7616212917954922
29,0.17326248954145276,0.2622998237609863,0.755493104477392
30,0.1739203704483047,0.264788424372673,0.7611322924404155
