epoch,train_loss,val_loss,val_score
1,0.5212881774926672,0.4810848951339722,0.7194544607114225
2,0.4711145768512268,0.48092817187309267,0.7201589904738225
3,0.4592092410490221,0.4470816791057587,0.757405895267459
4,0.4525531558509992,0.4566338664293289,0.7659614651169689
5,0.44045547274302466,0.43978620409965513,0.78680899923741
6,0.43465490365514947,0.4431515085697174,0.7814401521371127
7,0.42377203140331776,0.4302643221616745,0.7922728869736173
8,0.41907227746382053,0.43216405749320985,0.7868700766248109
9,0.41521027646198566,0.41600937366485596,0.8118672130595939
10,0.4105829754654242,0.40924000382423403,0.817135497537448
11,0.40555257213358975,0.4141179192066193,0.8060989669503181
12,0.3994198075058509,0.39929700791835787,0.8193770729572846
13,0.40409974905909324,0.40113711714744565,0.8252264924099735
14,0.39103864262602767,0.41567814886569976,0.8149303981007517
15,0.39201597740151445,0.4019105494022369,0.8231667463836425
16,0.38663375674157724,0.415673223733902,0.8026307781262169
17,0.3844332802204453,0.3999892216920853,0.8299887053970543
18,0.38441149320225326,0.39259923934936525,0.8207187533947365
19,0.3789262503233491,0.39563193440437316,0.8215132696735662
20,0.3796856902083572,0.411340674161911,0.8117568412649373
21,0.376491978308376,0.4005790424346924,0.819321105986993
22,0.37124516944191893,0.3963759881258011,0.8221813427942508
23,0.37218281155338095,0.4032252323627472,0.8284494587746601
24,0.3661880224791108,0.39786796510219574,0.8117280842110269
25,0.36645786677088055,0.39726435840129853,0.8214970555829589
26,0.36131222432061116,0.38432705879211426,0.8275998791681793
27,0.3605332358607224,0.3884530794620514,0.8349268551464157
28,0.3577894794241506,0.40955483317375185,0.81580984702107
29,0.35496897341645495,0.42363771617412566,0.8122906450028308
30,0.3527246447546141,0.39627017319202423,0.829572127520733
31,0.35038147038038897,0.3825014078617096,0.8294925735868923
32,0.34732324576803614,0.3944257688522339,0.8265306317436819
33,0.34619061550011443,0.40230986595153806,0.8310147976967505
34,0.3435702903994492,0.4099267190694809,0.8294006032293222
35,0.34294169259314633,0.4140288710594177,0.8268707068658512
36,0.3437082198049341,0.39838396340608595,0.8309067686195762
37,0.33610142379695057,0.38762848436832426,0.8346228013301694
38,0.3369408031659467,0.3900958561897278,0.8323892364406561
39,0.3365017725344823,0.39118396520614623,0.8329978844515575
40,0.33180013755146337,0.3927997088432312,0.8278913001110548
41,0.3275834306010178,0.40069823086261747,0.827769283614474
42,0.3272286842824245,0.40300975799560546,0.8227417656931272
43,0.3211805010024382,0.4024793124198914,0.8226796251294498
44,0.318936535670441,0.3915925419330597,0.8351116603368806
45,0.3183196422700979,0.4339235472679138,0.8226598236751999
46,0.31840619954223537,0.4034716933965683,0.823238326072114
47,0.3168927634857139,0.4091350448131561,0.8181564198689747
48,0.3116132005745051,0.40704690337181093,0.824966021641876
49,0.3126053207230811,0.4048853635787964,0.8290526464209838
50,0.3089866906556548,0.4086321610212326,0.8230025067806402
51,0.30529218608019304,0.4078205567598343,0.8213878687196723
52,0.3047259513060657,0.3961950635910034,0.8220647600338834
53,0.3016445176409824,0.40967036068439483,0.82884914074661
54,0.29839628896847065,0.40768353939056395,0.8352800970805481
